,Site,Habitat,Protection,Cluster,GPS file name,Month,Elevation,Lat,Long,Primary1000,Primary1000km,Secondary200,Secondary200km,House1000,House1000km,Non_Ground_Truthed_Habitat,Habitat_code,Dist_Corc,Dist_Corc_km,Dist_Corc_scaled,Secondary50,OldGrowth50,Secondary100,OldGrowth100,Secondary200,OldGrowth200,Secondary300,OldGrowth300,OldGrowth400,Secondary400,Secondary500,OldGrowth500,Secondary750,OldGrowth750,Secondary1000,OldGrowth1000,Secondary2000,OldGrowth2000,Secondary3000,OldGrowth3000,OldGrowth4000,Secondary4000,OldGrowth5000,Secondary5000,Mangrove50,Mangrove100,Mangrove200,Mangrove300,Mangrove400,Mangrove500,Mangrove750,Mangrove1000,Mangrove2000,Mangrove3000,Mangrove4000,Mangrove5000,ForestCover50,ForestCover100,ForestCover200,ForestCover300,ForestCover400,ForestCover500,ForestCover750,ForestCover1000,ForestCover2000,ForestCover3000,ForestCover4000,ForestCover5000,Diversity50,Diversity100,Diversity200,Diversity300,Diversity400,Diversity500,Diversity750,Diversity1000,Diversity2000,Diversity3000,Diversity4000,Diversity5000
1,Alto_Site_1,Secondary,GD Forest Reserve,Alto,ALTO 1 SW,March,247.544495,8.708883,-83.523192,0.435343014,0.000435343,0,0,798.9935973,0.798993597,Mangrove,MAN,1058.721656,1.058721656,0.020738476,1,0,0.969314304,0.030685696,0.713291828,0.286708172,0.696173913,0.303826087,0.275034483,0.724965518,0.697599731,0.281482144,0.637297296,0.300980787,0.634031658,0.320215175,0.460218196,0.49379003,0.484560511,0.463150846,0.393244892,0.532514992,0.322075045,0.550735011,0,0,0,0,0,0,0,0,0.00612673,0.004347398,0.002614718,0.001785842,1,1,1,1,1.000000001,0.979081875,0.938278083,0.954246833,0.954008226,0.947711357,0.925759884,0.872810056,0,0.137117695,0.599177859,0.614071367,0.588202202,0.688936844,0.820407559,0.79467486,0.873365971,0.884502683,0.933808614,1.022072198
2,Alto_Site_2,Old Growth,GD Forest Reserve,Alto,ALTO 2 SE,March,457.677643,8.714211,-83.521085,0,0,0,0,209.0301094,0.209030109,Old Growth,OG,9461.023677,9.461023677,0.185324647,0,1,0,1,0,1,0.008951361,0.99104864,0.93776661,0.062233391,0.173833032,0.826166968,0.383545636,0.610432963,0.449298505,0.535095805,0.469674066,0.496633284,0.492365299,0.465718218,0.413619663,0.523601191,0.341868322,0.537806209,0,0,0,0,0,0,0.003416663,0.011051214,0.007362913,0,0.00254997,0.001941251,1,1,1,1.000000001,1.000000001,1,0.993978599,0.98439431,0.96630735,0.958083517,0.937220854,0.879674531,0,0,0,0.051125346,0.233069061,0.461912218,0.703754989,0.771046071,0.833612792,0.823173589,0.904760326,1.002778748
3,Alto_Site_3,Old Growth,GD Forest Reserve,Alto,ALTO 3 S,March,528.935791,8.718563,-83.522124,0,0,408.0115823,0.408011582,0,0,Mangrove,MAN,10034.10733,10.03410733,0.196550337,0,1,0,1,0.056798352,0.943201649,0.051251392,0.948748608,0.900566341,0.096078211,0.132634583,0.844083301,0.18996861,0.790919804,0.337095283,0.64072219,0.472530317,0.496848969,0.500440853,0.46439098,0.421059224,0.530068234,0.357989827,0.539613095,0,0,0,0,0.003355448,0.018459144,0.016968229,0.012335616,0,0,0.002633562,0.002628531,1,1,1,1,0.996644552,0.976717884,0.980888414,0.977817473,0.969379286,0.964831833,0.951127458,0.897602922,0,0,0.218065645,0.202183535,0.33850629,0.510438314,0.583376558,0.746747742,0.790478891,0.814382345,0.863519586,0.976621939
4,Alto_Site_4,Old Growth,GD Forest Reserve,Alto,ALTO 4 NW,March,538.524536,8.714481,-83.51196,0,0,0,0,0,0,Old Growth,OG,10295.60404,10.29560404,0.201672593,0.413805689,0.586194311,0.36826187,0.63173813,0.313491912,0.65008198,0.419584091,0.516778946,0.376899992,0.549906747,0.551354817,0.391705958,0.441570838,0.523489897,0.397582841,0.566443173,0.516709291,0.430170679,0.523522757,0.405617199,0.392194747,0.489202652,0.337328717,0.493689477,0,0,0,0,0.003735426,0.006028848,0.012314399,0.016737337,0.008027997,0.003677447,0.002526825,0.007041543,1,1,0.963573892,0.936363037,0.926806739,0.943060775,0.965060735,0.964026014,0.94687997,0.929139956,0.881397399,0.831018194,0.678213777,0.658024134,0.764267486,0.880843512,0.902744724,0.877797703,0.839634949,0.833125856,0.884130268,0.914658715,0.965877896,1.100906945
5,Alto_Site_5,Old Growth,GD Forest Reserve,Alto,ALTO 5 SE,March,512.754517,8.718028,-83.505491,0,0,410.3821782,0.410382178,0,0,Old Growth,OG,10798.1433,10.7981433,0.211516445,0.006860037,0.993139963,0.181497166,0.818502834,0.20443775,0.79556225,0.145628987,0.854371013,0.863062715,0.13597235,0.252091113,0.736258166,0.427312905,0.560706027,0.413628422,0.556223064,0.559060049,0.408057873,0.522972561,0.371706135,0.370393728,0.472052694,0.318178673,0.488530786,0,0,0,0,0,0,0.006726381,0.019249178,0.007647885,0.003822645,0.002279983,0.010245291,1,1,1,1,0.999035065,0.988349279,0.988018932,0.969851486,0.967117922,0.894678696,0.842446422,0.806709459,0.041013448,0.473656134,0.506493246,0.415051591,0.405107564,0.624669616,0.748942631,0.816712941,0.820110848,0.960824047,0.998551102,1.111486136
6,Alto_Site_6,Secondary,GD Forest Reserve,Alto,ALTO 6 E,March,402.482727,8.716763,-83.499957,0,0,431.207666,0.431207666,508.269183,0.508269183,Grassland,GRA,11595.92104,11.59592104,0.227143493,1,0,0.993462563,0.006537437,0.780186992,0.219813009,0.591211088,0.408788912,0.491736019,0.508263981,0.518645846,0.481354154,0.618873387,0.377970622,0.618464743,0.374971399,0.564701751,0.356578636,0.484637068,0.346092185,0.328620705,0.462130199,0.302384411,0.458916171,0,0,0,0,0,0,0.003155991,0.003650264,0.005260563,0.003789179,0.01038489,0.015252617,1,1,1,1,1,1,0.996844009,0.993436142,0.921280387,0.830729253,0.790750904,0.761300582,0,0.039400703,0.526671191,0.67641472,0.693010588,0.692451684,0.682885135,0.702492565,0.928721419,0.984532513,1.095823491,1.184604195
7,Alto_Site_7,Secondary,GD Forest Reserve,Alto,ALTO 7 NE,March,312.397858,8.718927,-83.494422,1072.847073,1.072847073,542.5691326,0.542569133,1585.035684,1.585035684,Old Growth,OG,11986.0013,11.9860013,0.234784473,1,0,1,0,0.87125003,0.12874997,0.777992509,0.222007491,0.291430874,0.708569126,0.674712296,0.322567202,0.717321106,0.229959612,0.706069313,0.230046492,0.53480778,0.314288273,0.47245094,0.328705373,0.297625284,0.456646734,0.281101063,0.449918321,0,0,0,0,0,0,0,0.0000693,0.003283117,0.003542641,0.013693115,0.016586787,1,1,1,1,1,0.997279498,0.947280718,0.936115805,0.849096053,0.801156313,0.754272018,0.731019384,0,0,0.384003524,0.529437058,0.603427897,0.646514805,0.731464238,0.76005661,0.978932269,0.981923881,1.116701141,1.200837179
8,Alto_Site_8,Old Growth,GD Forest Reserve,Alto,ALTO 8 S,March,223.105789,8.721064,-83.490139,1911.257897,1.911257897,386.64046,0.38664046,4958.510287,4.958510287,Old Growth,OG,12543.48343,12.54348343,0.245704557,0.139135664,0.860864336,0.486080656,0.513919345,0.681380795,0.243384683,0.591108839,0.216533941,0.248741189,0.549944518,0.560831324,0.258616511,0.649743712,0.195860808,0.687027598,0.188526474,0.50651811,0.287370654,0.468416194,0.300092069,0.28249487,0.455177114,0.260827724,0.447329511,0,0,0,0,0,0,0,0,0.001164365,0.003066936,0.014876601,0.01760151,1,1,0.924765478,0.80764278,0.798685707,0.819447835,0.84560452,0.875554072,0.793888764,0.768508263,0.737671984,0.708157235,0.403391357,0.692759634,0.799973258,0.95915901,0.997601058,0.98316128,0.899973942,0.839038047,0.986883952,0.981799154,1.131097873,1.200974185
9,Bonito_Site_1,Secondary,Piedras Blancas NP,Bonito,PB8 W,March,110.939697,8.68172,-83.22878,0,0,0,0,787.3704496,0.78737045,Old Growth,OG,47238.41648,47.23841648,0.925316661,1,0,1,0,0.998690562,0,0.9364379,0.004634099,0.023389269,0.90990625,0.908647999,0.046834332,0.902506211,0.071595394,0.891232161,0.078411035,0.873978105,0.107553648,0.762095843,0.227310176,0.25867354,0.72815148,0.285305945,0.665433933,0,0,0,0,0,0,0,0,0.004515494,0,0.001279245,0,1,1,0.998690562,0.941071999,0.933295519,0.955482331,0.974101605,0.969643196,0.981531753,0.989406019,0.98682502,0.950739878,0,0,0.015029208,0.22611728,0.278220284,0.268103121,0.260854107,0.279631997,0.462287308,0.521514806,0.64485894,0.721469986
10,Bonito_Site_2,Secondary,Piedras Blancas NP,Bonito,PB9 W,March,124.52298,8.677057,-83.228693,0,0,0,0,787.3704496,0.78737045,Old Growth,OG,47640.83305,47.64083305,0.933199287,1,0,1,0,1,0,0.972851984,0.027148015,0.069403181,0.930596819,0.879152834,0.120847166,0.852207708,0.140170139,0.845859223,0.139638819,0.868575716,0.11655021,0.758410936,0.232885725,0.275463739,0.706774556,0.281417858,0.642392923,0,0,0,0,0,0,0,0,0.004163641,0,0,0,1,1,1,0.999999999,1,1,0.992377847,0.985498042,0.985125926,0.991296661,0.982238295,0.923810781,0,0,0.010000835,0.253253951,0.354346764,0.368945754,0.375977864,0.408332721,0.446327345,0.588786844,0.649145439,0.746307468
